Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_On_Foot_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Bicycle_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Bus_Minibus_Coach_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Train_Dart_Luas_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Motorcycle_Scooter_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Car_Driver_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Car_Passenger_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Van_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Other_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Soft_Modes_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Public_Transport_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Private_Transport_Comb_2011,Population_Aged_5_Over_By_Means_Of_Travel_To_Work_School_College_Total_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Before_0630_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0630_0700_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0701_0730_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0731_8000_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0801_0830_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0831_0900_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_0901_0930_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_After_0930_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Not_Stated_2011,Population_Aged_5_Over_By_Time_Leaving_Home_To_Travel_To_Work_School_College_Total_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Under_15_mins_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Quarter_To_Under_Half_Hour_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Half_Hour_To_Under_Three_Quarter_Hours_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Three_Quarter_Hours_To_Under_One_Hour_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_One_Hour_To_Under_One_Hour_Thirty_Mins_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_One_And_Half_Hours_And_Over_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Not_Stated_2011,Population_Aged_5_Over_By_Journey_Time_To_Work_School_College_Total_2011
10813,47001001,A047001001,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,4,0,26,0,0,43,5,13,8,4,26,61,99,4,6,12,6,24,30,4,6,1,93,22,40,12,9,6,1,3,93
10814,47001002,A047001002,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,6,0,29,0,1,58,30,5,23,6,29,94,152,1,9,15,25,30,30,13,5,6,134,38,47,14,7,17,2,9,134
10815,47001003,A047001003,18054,054 Abbeymahon,Cork County,South-West,SE,Southern,17,1,34,0,0,42,22,18,18,18,34,82,152,5,8,11,22,23,51,12,4,5,141,53,49,14,5,11,1,8,141
10783,47002002,A047002002,18047,047 Adrigole,Cork County,South-West,SE,Southern,5,1,8,0,0,15,7,13,2,6,8,35,51,3,2,3,13,12,3,11,2,0,49,17,10,11,3,2,3,3,49
10785,47002005,A047002005,18047,047 Adrigole,Cork County,South-West,SE,Southern,0,0,8,0,0,26,17,8,5,0,8,51,64,2,3,2,13,13,6,18,2,1,60,18,10,18,2,5,5,2,60
11995,47003001,A047003001,18286,286 Aghadown North,Cork County,South-West,SE,Southern,12,0,37,1,1,59,37,17,31,12,38,114,195,4,3,7,15,39,65,21,10,11,175,78,49,28,4,4,3,9,175
11997,47004003,A047004003,18287,287 Aghadown South,Cork County,South-West,SE,Southern,3,2,13,0,0,30,11,12,12,5,13,53,83,2,4,6,7,16,23,9,3,5,75,25,19,14,0,5,2,10,75
11998,47004004,A047004004,18287,287 Aghadown South,Cork County,South-West,SE,Southern,5,0,9,1,0,38,20,7,9,5,10,65,89,3,2,7,9,19,33,3,5,1,82,33,26,9,2,5,1,6,82
11999,47004005,A047004005,18287,287 Aghadown South,Cork County,South-West,SE,Southern,2,1,6,0,0,30,16,11,7,3,6,57,73,2,5,4,11,15,26,1,0,3,67,30,18,5,4,5,2,3,67
11385,47005001,A047005001,18121,121 Aghern,Cork County,South-West,SE,Southern,5,0,18,0,0,76,28,8,18,5,18,112,153,9,16,14,31,18,22,17,8,8,143,34,36,33,15,9,4,12,143
11637,47006001,A047006001,18197,197 Aghinagh,Cork County,South-West,SE,Southern,4,0,12,0,0,72,35,8,21,4,12,115,152,8,13,11,18,32,22,22,5,5,136,43,33,30,18,4,2,6,136
11638,47006002,A047006002,18197,197 Aghinagh,Cork County,South-West,SE,Southern,4,1,6,0,0,72,45,11,9,5,6,128,148,6,11,9,22,33,28,23,6,4,142,39,38,34,10,9,3,9,142
11639,47007001,A047007001,18198,198 Aglish,Cork County,South-West,SE,Southern,3,0,11,0,0,81,45,15,20,3,11,141,175,1,8,18,27,32,46,19,7,2,160,49,62,30,7,3,0,9,160
11640,47007002,A047007002,18198,198 Aglish,Cork County,South-West,SE,Southern,6,0,5,0,0,123,71,16,23,6,5,210,244,9,16,20,29,56,50,37,8,3,228,73,68,59,15,1,6,6,228
